abzal	3	26	Asbob	Ot-ulovga taqiladigan jabduq va anjomlar.
adiba	3	38	Sanʼat	Badiiy asarlar bituvchi ayol ijodkor.
adras	3	29	Kiyim	Ipak va paxta aralash toʻqilgan milliy mato.
afsun	3	61	Tarix	Sehr maqsadida aytiladigan gʻayritabiiy soʻzlar.
afsus	3	64	Tuygʻu	Boy berilgan narsa uchun achinish hissi.
afyun	2	216	Jism	Koʻknoridan olinadigan kuchli gangituvchi modda.
aholi	1	124696	Jamiyat	Bir hududda doimiy yashovchi kishilar jami.
ahvol	2	157	Tuygʻu	Kimningdir hozirgi holati, kayfiyati yoki turmushi.
ajdar	2	123	Tarix	Ertaklardagi olov purkovchi ulkan ilonsimon maxluq.
ajdod	2	107	Oila	Bizdan avval oʻtgan ota-bobolar avlodi.
ajrim	2	88	Jamiyat	Tortishuvni hal qiluvchi rasmiy qaror.
ajriq	3	55	Tabiat	Yer bagʻirlab oʻsadigan seryildiz begona oʻt.
alanga	2	177	Tabiat	Yonayotgan narsadan koʻtarilgan olov tillari.
aloqa	1	5690	Jamiyat	Ikki tomon oʻrtasidagi bogʻlanish, munosabat.
amaki	2	181	Oila	Otaning ukasi yoki akasi.
ambar	3	21	Qurilish	Don va mol saqlanadigan katta xona.
anbar	2	176	Tabiat	Xushboʻy modda sifatida ishlatiladigan qimmat xomashyo.
anhor	2	152	Tabiat	Katta ariq, sersuv sunʼiy oqim.
anjir	2	222	Oshxona	Yumshoq, seruruq shirin mevali daraxt hosili.
anzur	3	25	Oshxona	Togʻda oʻsadigan, tuzlab yeyiladigan piyozsimon oʻsimlik.
aqida	2	128	Din	Qatʼiy ishonch, eʼtiqod qoidasi.
aqiqa	3	19	Din	Chaqaloq uchun soʻyiladigan qurbonlik marosimi.
arafa	3	48	Vaqt	Bayramdan bir kun avvalgi kun.
arava	2	221	Asbob	Ot yoki eshak tortadigan gʻildirakli ulov.
arbob	2	296	Jamiyat	Biror sohada tanilgan yirik shaxs.
argʻin	2	107	Tarix	Qadimgi turkiy urugʻlardan birining nomi.
ariza	1	1277	Ilm	Rasmiy iltimos bayon etilgan yozma hujjat.
armon	3	48	Tuygʻu	Amalga oshmay qolgan orzu alami.
arqon	1	369	Asbob	Tolalardan eshilgan yoʻgʻon bogʻlagich.
arvoh	2	167	Din	Marhumlarning ruhi haqidagi tasavvur.
arxar	3	37	Hayvonot	Togʻda yashovchi yirik yovvoyi qoʻy.
asbob	1	986	Asbob	Ish bajarishda qoʻllanadigan qurol yoki moslama.
ashula	1	769	Sanʼat	Kuy bilan ijro etiladigan qoʻshiq.
asira	3	16	Jamiyat	Urushda tutqunga tushgan ayol.
askar	1	1464	Jamiyat	Qoʻshinda xizmat qiluvchi harbiy kishi.
astar	3	32	Kiyim	Kiyimning ichki tomoniga tikiladigan mato.
atala	1	490	Oshxona	Un va yogʻdan tayyorlanadigan suyuq taom.
atama	1	1786	Til	Fanga oid tushunchani ifodalovchi maxsus soʻz.
atlas	1	860	Kiyim	Tovlanib turadigan ipak milliy mato.
atrof	1	471	Tabiat	Biror narsaning tevaragi, yon-veri.
attor	2	122	Kasb-hunar	Mayda-chuyda va xushboʻyliklar sotuvchi kishi.
audit	2	213	Savdo	Moliyaviy hisobotlarni tekshirish faoliyati.
