abzal	Asbob	Ot-ulovga taqiladigan jabduq va anjomlar.
adiba	Sanʼat	Badiiy asarlar bituvchi ayol ijodkor.
adras	Kiyim	Ipak va paxta aralash toʻqilgan milliy mato.
afsun	Tarix	Sehr maqsadida aytiladigan gʻayritabiiy soʻzlar.
afsus	Tuygʻu	Boy berilgan narsa uchun achinish hissi.
afyun	Jism	Koʻknoridan olinadigan kuchli gangituvchi modda.
aholi	Jamiyat	Bir hududda doimiy yashovchi kishilar jami.
ahvol	Tuygʻu	Kimningdir hozirgi holati, kayfiyati yoki turmushi.
ajdar	Tarix	Ertaklardagi olov purkovchi ulkan ilonsimon maxluq.
ajdod	Oila	Bizdan avval oʻtgan ota-bobolar avlodi.
ajrim	Jamiyat	Tortishuvni hal qiluvchi rasmiy qaror.
ajriq	Tabiat	Yer bagʻirlab oʻsadigan seryildiz begona oʻt.
alanga	Tabiat	Yonayotgan narsadan koʻtarilgan olov tillari.
aloqa	Jamiyat	Ikki tomon oʻrtasidagi bogʻlanish, munosabat.
amaki	Oila	Otaning ukasi yoki akasi.
ambar	Qurilish	Don va mol saqlanadigan katta xona.
anbar	Tabiat	Xushboʻy modda sifatida ishlatiladigan qimmat xomashyo.
anhor	Tabiat	Katta ariq, sersuv sunʼiy oqim.
anjir	Oshxona	Yumshoq, seruruq shirin mevali daraxt hosili.
anzur	Oshxona	Togʻda oʻsadigan, tuzlab yeyiladigan piyozsimon oʻsimlik.
aqida	Din	Qatʼiy ishonch, eʼtiqod qoidasi.
aqiqa	Din	Chaqaloq uchun soʻyiladigan qurbonlik marosimi.
arafa	Vaqt	Bayramdan bir kun avvalgi kun.
arava	Asbob	Ot yoki eshak tortadigan gʻildirakli ulov.
arbob	Jamiyat	Biror sohada tanilgan yirik shaxs.
argʻin	Tarix	Qadimgi turkiy urugʻlardan birining nomi.
ariza	Ilm	Rasmiy iltimos bayon etilgan yozma hujjat.
armon	Tuygʻu	Amalga oshmay qolgan orzu alami.
arqon	Asbob	Tolalardan eshilgan yoʻgʻon bogʻlagich.
arvoh	Din	Marhumlarning ruhi haqidagi tasavvur.
arxar	Hayvonot	Togʻda yashovchi yirik yovvoyi qoʻy.
asbob	Asbob	Ish bajarishda qoʻllanadigan qurol yoki moslama.
ashula	Sanʼat	Kuy bilan ijro etiladigan qoʻshiq.
asira	Jamiyat	Urushda tutqunga tushgan ayol.
askar	Jamiyat	Qoʻshinda xizmat qiluvchi harbiy kishi.
astar	Kiyim	Kiyimning ichki tomoniga tikiladigan mato.
atala	Oshxona	Un va yogʻdan tayyorlanadigan suyuq taom.
atama	Til	Fanga oid tushunchani ifodalovchi maxsus soʻz.
atlas	Kiyim	Tovlanib turadigan ipak milliy mato.
atrof	Tabiat	Biror narsaning tevaragi, yon-veri.
attor	Kasb-hunar	Mayda-chuyda va xushboʻyliklar sotuvchi kishi.
audit	Savdo	Moliyaviy hisobotlarni tekshirish faoliyati.
avlod	Oila	Bir davrda tugʻilgan kishilar boʻgʻini.
axlat	Uy-roʻzgʻor	Keraksiz boʻlib tashlanadigan chiqindi.
axloq	Tuygʻu	Insonning odob va xulq meʼyorlari.
aygʻir	Hayvonot	Naslga qoʻyiladigan erkak ot.
ayron	Oshxona	Qatiqni suv bilan aralashtirib tayyorlanadigan ichimlik.
aytim	Sanʼat	Xalq ogʻzaki ijodidagi kuylanadigan janr.
ayvon	Qurilish	Uyning old tomonidagi usti yopiq ochiq maydoncha.
