badal	Savdo	Biror narsa evaziga toʻlanadigan haq.
badan	Jism	Insonning butun tanasi.
badia	Sanʼat	Yuksak did bilan yaratilgan ijod namunasi.
bagʻir	Jism	Koʻkrak va qorin tomon; mehr ramzi.
bagʻish	Tabiat	Tok va oʻsimlik novdasidagi tugun oraligʻi.
bahor	Vaqt	Qish bilan yoz orasidagi yashil fasl.
bahra	Tuygʻu	Biror narsadan olinadigan rohat, naf.
bakra	Hayvonot	Ikra beruvchi yirik daryo baligʻi.
baliq	Hayvonot	Suvda suzgichlari yordamida yashovchi jonivor.
banan	Oshxona	Issiq oʻlkalarda oʻsadigan uzunchoq sariq meva.
banda	Din	Yaratganning quli sanalgan inson.
bandi	Jamiyat	Ozodlikdan mahrum etilgan tutqun kishi.
barak	Oshxona	Xamirga goʻsht solib tugiladigan qaynatma taom.
barpo	Qurilish	Qurib bunyod etish ishi.
bashar	Oila	Butun insoniyat, odamzod.
baxshi	Sanʼat	Doston kuylab beruvchi xalq ijrochisi.
bayon	Til	Fikrni ogʻzaki yoki yozma ifodalash.
bekat	Jamiyat	Yoʻlovchilar transport kutadigan joy.
belgi	Ilm	Biror narsani bildiruvchi ishora yoki nishona.
bemor	Jism	Sogʻligʻini yoʻqotgan, davolanayotgan kishi.
beshik	Uy-roʻzgʻor	Chaqaloq tebratib uxlatiladigan milliy moslama.
beton	Qurilish	Sement, qum va shagʻaldan qotiriladigan material.
bezak	Sanʼat	Chiroy berish uchun qoʻshiladigan naqsh yoki buyum.
bigiz	Asbob	Teshik ochish uchun uchli qoʻl quroli.
bilak	Jism	Qoʻlning tirsakdan kaftgacha boʻlgan qismi.
bilim	Ilm	Oʻrganish orqali egallangan maʼlumotlar boyligi.
bitik	Tarix	Qadimda toshga yoki teriga tushirilgan yozuv.
bitim	Savdo	Ikki tomon kelishuvi asosidagi shartnoma.
bodom	Oshxona	Qattiq poʻchoqli, magʻzi shirin danakli meva.
bogʻcha	Ilm	Maktabgacha yoshdagi bolalar tarbiyalanadigan muassasa.
bogʻich	Asbob	Biror narsani boylash uchun ip yoki tasma.
bolta	Asbob	Oʻtin yorish uchun dastali keskir qurol.
bomba	Jamiyat	Portlovchi harbiy qurol turi.
bonus	Savdo	Qoʻshimcha ragʻbat sifatida beriladigan mukofot.
boshoq	Tabiat	Don oʻsimligining donli uchki qismi.
bosim	Ilm	Yuzaga taʼsir etuvchi kuch miqdori.
bozor	Savdo	Oldi-sotdi qilinadigan katta savdo maskani.
boʻgʻim	Jism	Suyaklar tutashgan harakatlanuvchi joy.
boʻgʻin	Til	Soʻzning bir nafasda aytiladigan qismi.
boʻgʻiz	Jism	Tomoqning ichki nafas yoʻli qismi.
boʻgʻoz	Tabiat	Ikki dengizni tutashtiruvchi tor suv yoʻli.
boʻlak	Ilm	Butunning ajratilgan bir qismi.
boʻlim	Jamiyat	Muassasaning alohida qismi, tarmogʻi.
boʻlma	Qurilish	Xonaning ajratilgan kichik qismi.
boʻron	Tabiat	Qor yoki qum aralash kuchli shamol.
boʻtqa	Oshxona	Yormadan pishiriladigan quyuq taom.
boʻyin	Jism	Boshni tanaga tutashtiruvchi qism.
boʻyoq	Asbob	Rang berish uchun ishlatiladigan modda.
boʻyra	Uy-roʻzgʻor	Qamishdan toʻqilgan yerga soliladigan toʻshama.
bugun	Vaqt	Ayni shu kechayotgan kun.
buloq	Tabiat	Yerdan qaynab chiqadigan suv koʻzi.
bulut	Tabiat	Osmonda suzuvchi suv bugʻlari uyumi.
buqoq	Jism	Boʻyindagi bezning kattalashish kasalligi.
burda	Oshxona	Nonning bir tishlamlik parchasi.
burga	Hayvonot	Sakrab yuruvchi mayda qon soʻruvchi hasharot.
burgʻi	Asbob	Teshik ochadigan aylanuvchi uchli asbob.
burgʻu	Asbob	Yer qatlamini teshib kiruvchi qurilma.
burov	Asbob	Aylantirib qattiq siqish harakati.
burun	Jism	Yuzning hid sezuvchi aʼzosi.
buyum	Uy-roʻzgʻor	Ishlatish uchun yasalgan narsa.
buzoq	Hayvonot	Sigirning yosh bolasi.
