chakka	Jism	Boshning quloq tepasidagi yon qismi.
chalov	Tabiat	Choʻl-dashtda oʻsadigan boshoqli yovvoyi oʻt.
chaman	Tabiat	Gullar ochilib yotgan yam-yashil maydon.
changal	Tabiat	Qalin butalar bosgan oʻtib boʻlmas joy.
changchi	Tabiat	Gulning urugʻlantiruvchi ipsimon qismi.
chanoq	Jism	Tos suyaklari hosil qilgan skelet qismi.
chaqiq	Jamiyat	Birovni yomonlab yetkaziladigan gap.
charos	Oshxona	Yirik qora shirin uzum navi.
charvi	Oshxona	Qorin ichidagi yumshoq yogʻ qatlami.
chashma	Tabiat	Yer ostidan sizib chiqadigan suv manbai.
chayla	Qurilish	Shox-shabbadan qurilgan yengil boshpana.
chayon	Hayvonot	Dumida zahri bor boʻgʻimoyoqli jonivor.
chechak	Jism	Terini toshma bilan qoplaydigan yuqumli kasallik.
chehra	Jism	Kishining yuz koʻrinishi, aft-angori.
chelak	Uy-roʻzgʻor	Suv tashishga moʻljallangan dastali idish.
chetan	Qurilish	Novdalardan toʻqib yasalgan devor yoki toʻsiq.
chigit	Tabiat	Paxta tolasi ichidagi urugʻ doni.
chilim	Uy-roʻzgʻor	Tutunni suvdan oʻtkazib tortiladigan moslama.
chilla	Vaqt	Qish yoki yozning eng qattiq qirq kunligi.
chilon	Oshxona	Mayda mevali jiyda turi.
chinni	Uy-roʻzgʻor	Oq sirli nafis idish materiali.
chinor	Tabiat	Keng bargli, uzoq yashaydigan azim daraxt.
chipta	Savdo	Kirish yoki yoʻl haqini tasdiqlovchi qogʻoz.
chiroq	Uy-roʻzgʻor	Atrofni yorituvchi moslama.
chiroy	Tuygʻu	Koʻzni quvontiruvchi goʻzallik.
chivin	Hayvonot	Qon soʻrib bezovta qiluvchi mayda uchuvchi hasharot.
chiviq	Tabiat	Daraxtning ingichka egiluvchan novdasi.
chiziq	Ilm	Ikki nuqtani tutashtiruvchi iz.
chizma	Ilm	Buyumning oʻlchamli grafik tasviri.
chodir	Uy-roʻzgʻor	Matodan tikilgan koʻchma boshpana.
chodra	Kiyim	Ayollar boshdan yopinadigan keng mato.
cholgʻu	Sanʼat	Kuy chalinadigan musiqa asbobi.
chopar	Kasb-hunar	Xabarni tez yetkazuvchi otliq xizmatchi.
chopiq	Kasb-hunar	Ekin orasidagi begona oʻtni yumshatib tozalash.
chopon	Kiyim	Paxta solib tikilgan milliy ustki kiyim.
chorak	Vaqt	Butunning toʻrtdan bir qismi.
chorsu	Savdo	Toʻrt yoʻl kesishgan joydagi usti yopiq bozor.
chorva	Hayvonot	Goʻsht va sut uchun boqiladigan uy hayvonlari.
choʻchqa	Hayvonot	Serpushtli, semiz tumshuqli uy hayvoni.
choʻloq	Jism	Oyogʻi oqsaydigan kishi.
choʻmich	Uy-roʻzgʻor	Suyuq taom suzadigan uzun dastali idishcha.
choʻpon	Kasb-hunar	Qoʻy-echki boquvchi kishi.
choʻqqi	Tabiat	Togʻning eng baland uchi.
choʻtka	Uy-roʻzgʻor	Qillardan yasalgan tozalash buyumi.
choʻyan	Qurilish	Moʻrt, ogʻir temir qotishmasi.
chuqur	Tabiat	Yer yuzasidagi ichkariga botiq joy.
churra	Jism	Ichki aʼzoning teri ostiga boʻrtib chiqishi.
