dahan	Jism	Ogʻiz va uning atrofi.
dalda	Tuygʻu	Ruhlantirish uchun aytiladigan yupatuvchi soʻz.
dalil	Ilm	Fikr toʻgʻriligini isbotlovchi asos.
danak	Oshxona	Meva ichidagi qattiq poʻstli urugʻ.
darak	Til	Biror kimsa yoki narsa haqidagi xabar.
darcha	Qurilish	Devor yoki eshikdagi kichik tuynuk oynasi.
darra	Tarix	Jazolash uchun ishlatilgan qayish qamchi.
daryo	Tabiat	Katta oʻzanda oqadigan yirik suv oqimi.
dasta	Asbob	Buyumning qoʻl bilan ushlanadigan qismi.
davom	Vaqt	Boshlangan ishning toʻxtamay borishi.
davra	Jamiyat	Aylana boʻlib oʻtirgan kishilar guruhi.
daxma	Tarix	Qadimgi qabr usti inshooti.
daydi	Jamiyat	Uy-joysiz izgʻib yuruvchi kimsa.
dengiz	Tabiat	Shoʻr suvli ulkan suv havzasi.
devon	Sanʼat	Shoir sheʼrlari jamlangan qadimiy toʻplam.
devor	Qurilish	Xonalarni ajratuvchi tik toʻsiq.
divan	Uy-roʻzgʻor	Suyanchiqli yumshoq oʻtirgʻich mebeli.
diyor	Tabiat	Kishi tugʻilib oʻsgan oʻlka.
dohiy	Jamiyat	Xalqni yetaklovchi buyuk rahnamo.
doira	Sanʼat	Chertib chalinadigan davra shaklidagi musiqa asbobi.
dolon	Qurilish	Uyning kiraverishidagi uzun yoʻlak.
domla	Kasb-hunar	Dars beruvchi ustoz, muallim.
doska	Ilm	Sinfda yozib koʻrsatiladigan taxta.
dovon	Tabiat	Togʻdan oshib oʻtiladigan yoʻl boʻyni.
dovul	Tabiat	Hamma narsani uchiruvchi qattiq shamol.
doʻkon	Savdo	Mol sotiladigan kichik savdo joyi.
doʻppi	Kiyim	Gul tikilgan milliy bosh kiyimi.
doʻzax	Din	Gunohkorlar jazolanadigan oxirat makoni.
dugoh	Sanʼat	Milliy maqom yoʻllaridan birining nomi.
dukchi	Kasb-hunar	Ip yigiruv uchun moslama yasovchi hunarmand.
dumba	Oshxona	Qoʻyning orqasidagi yogʻli qismi.
dunyo	Tabiat	Butun olam, yer yuzi.
durra	Kiyim	Boshga oʻraladigan yupqa roʻmol.
dutor	Sanʼat	Ikki torli milliy musiqa asbobi.
