ehrom	Tarix	Qadimgi Misrdagi ulkan uchburchak maqbara.
ehson	Din	Savob umidida qilinadigan yaxshilik, xayr.
ekran	Asbob	Tasvir aks etadigan yassi yuza.
erkak	Oila	Insonlarning ota jinsiga mansub vakili.
erman	Tabiat	Achchiq hidli dorivor dasht oʻsimligi.
ertak	Sanʼat	Sehrli voqealar hikoya qilinadigan xalq ijodi janri.
eshkak	Asbob	Qayiqni suvda haydovchi kurakcha.
falak	Tabiat	Osmon gumbazi, koinot.
faqih	Din	Shariat ilmini chuqur biluvchi olim.
farang	Tarix	Ovroʻpalik kishining eski nomlanishi.
faraz	Ilm	Hali isbotlanmagan ilmiy taxmin.
fatvo	Din	Diniy masala boʻyicha rasmiy xulosa.
figʻon	Tuygʻu	Alam bilan chekilgan oh-nola.
firqa	Jamiyat	Bir gʻoya atrofida uyushgan siyosiy guruh.
fitna	Jamiyat	Odamlarni bir-biriga qayrash, igʻvo.
fojia	Tuygʻu	Ogʻir oqibatli mudhish voqea.
foyda	Savdo	Faoliyatdan keladigan naf, daromad.
gadoy	Jamiyat	Tilanchilik qilib kun koʻruvchi kimsa.
gajak	Kiyim	Chekkaga tushirilgan jingalak soch tolasi.
garov	Savdo	Majburiyat bajarilishini taʼminlovchi tikilgan narsa.
gavda	Jism	Odamning qomati, tanasi.
gazak	Oshxona	Ichimlik yoniga yeyiladigan yengil yegulik.
gijja	Jism	Ichakda yashovchi parazit chuvalchang.
gilam	Uy-roʻzgʻor	Polga toʻshaladigan qalin toʻqima buyum.
gilos	Oshxona	Mayda danakli qizil shirin meva.
girih	Sanʼat	Sharq meʼmorligidagi geometrik naqsh turi.
goʻdak	Oila	Endigina tugʻilgan yosh bola.
gulcha	Tabiat	Mayda ochilgan gul, chechakcha.
gulob	Oshxona	Gul bargidan tayyorlanadigan xushboʻy suv.
gumon	Tuygʻu	Aniq boʻlmagan shubhali oʻy.
gunoh	Din	Diniy taqiqni buzish, ayb.
guruch	Oshxona	Palov damlanadigan oq don.
guruh	Jamiyat	Umumiy maqsaddagi kishilar toʻplami.
gurung	Jamiyat	Yaqinlar davrasidagi erkin suhbat.
guvoh	Jamiyat	Voqeani oʻz koʻzi bilan koʻrgan kishi.
guzar	Jamiyat	Mahallaning odamlar toʻplanadigan markazi.
