gʻalla	Oshxona	Don beruvchi ekinlarning umumiy nomi.
gʻanim	Jamiyat	Dushmanlik qiluvchi raqib.
gʻazab	Tuygʻu	Qattiq jahl, achchiqlanish hissi.
gʻazal	Sanʼat	Ishq mavzusidagi mumtoz sheʼriy janr.
gʻazna	Savdo	Davlat boyliklari saqlanadigan xazina.
gʻazot	Tarix	Din yoʻlidagi qadimiy jang yurishi.
gʻilof	Uy-roʻzgʻor	Buyumni oʻrab turadigan qin yoki jild.
gʻizol	Hayvonot	Nozik oyoqli chiroyli ohu.
gʻorat	Tarix	Bosqin bilan talon-taroj qilish.
gʻovak	Tabiat	Ichi teshik-teshik, boʻsh joyli narsa.
gʻubor	Tabiat	Havoda suzuvchi mayda chang pardasi.
gʻumay	Tabiat	Ekinlarga zarar keltiruvchi begona oʻt.
gʻuncha	Tabiat	Hali ochilmagan gul kurtagi.
gʻurur	Tuygʻu	Oʻz qadrini bilish, iftixor hissi.
hadis	Din	Paygʻambardan qolgan soʻz va koʻrsatmalar.
hadya	Tuygʻu	Hurmat yuzasidan beriladigan sovgʻa.
hafta	Vaqt	Yetti kundan iborat vaqt oʻlchovi.
hakam	Oʻyin	Musobaqada adolatni nazorat qiluvchi shaxs.
hakim	Kasb-hunar	Qadimda tabiblik qilgan donishmand.
hakka	Hayvonot	Oq-qora patli sershovqin qush.
halim	Oshxona	Bugʻdoy va goʻshtdan pishiriladigan quyuq taom.
halqa	Asbob	Aylana shaklidagi tutashgan buyum.
hamla	Jamiyat	Toʻsatdan qilingan hujum harakati.
haram	Tarix	Saroyning ayollar yashaydigan qismi.
hasad	Tuygʻu	Birovning yutugʻini koʻra olmaslik hissi.
hashar	Jamiyat	Koʻpchilik boʻlib beminnat qilinadigan ish.
hassa	Asbob	Tayanib yurish uchun tayoqcha.
havas	Tuygʻu	Birovdagi narsaga intiqlik, qiziqish.
havza	Tabiat	Suv toʻplanadigan hudud yoki idish.
hayit	Din	Roʻza yoki qurbonlik bayrami kuni.
hayot	Tabiat	Tiriklik, yashash jarayoni.
hazar	Tuygʻu	Jirkanib oʻzini tortish hissi.
hazil	Tuygʻu	Kuldirish uchun aytilgan bezarar gap.
hijob	Kiyim	Ayollarning boshni yopuvchi diniy libosi.
hisob	Ilm	Sonlar ustida bajariladigan amallar.
hissa	Savdo	Umumiy ishdagi ulush, qism.
hiyla	Tuygʻu	Aldash uchun oʻylangan ayyorlik.
hofiz	Sanʼat	Qoʻshiqni mahorat bilan ijro etuvchi xonanda.
hojat	Tuygʻu	Zarurat, ehtiyoj.
hokim	Jamiyat	Hududni boshqaruvchi mansabdor.
holat	Tuygʻu	Muayyan paytdagi vaziyat, ahvol.
holva	Oshxona	Un, yogʻ va shakardan tayyorlanadigan shirinlik.
homiy	Jamiyat	Moddiy va maʼnaviy qoʻllab-quvvatlovchi shaxs.
hosil	Tabiat	Ekin-tikindan olinadigan mahsulot.
hovli	Qurilish	Uy atrofidagi devor bilan oʻralgan maydon.
hovuch	Jism	Ikki kaftni birlashtirganda sigʻadigan miqdor.
hovuz	Tabiat	Suv toʻplab qoʻyiladigan sunʼiy koʻlcha.
hoʻkiz	Hayvonot	Qoʻsh haydashda ishlatiladigan erkak qoramol.
hudud	Jamiyat	Chegaralari belgilangan yer maydoni.
hujra	Qurilish	Madrasa yoki uydagi kichik xona.
hujum	Jamiyat	Dushman ustiga otilish harakati.
hunar	Kasb-hunar	Qoʻl mehnatiga asoslangan kasb mahorati.
huquq	Jamiyat	Qonun bilan berilgan erk va imkoniyatlar.
huzur	Tuygʻu	Orom bagʻishlovchi rohat hissi.
