ibora	Til	Koʻchma maʼnoli turgʻun soʻz birikmasi.
ibrat	Tuygʻu	Boshqalarga oʻrnak boʻladigan saboq.
idora	Jamiyat	Ish yuritiladigan muassasa binosi.
idrok	Tuygʻu	Voqelikni anglash qobiliyati.
iffat	Tuygʻu	Pokiza nomus, hayo.
ifoda	Til	Fikr yoki tuygʻuning tashqi koʻrinishi.
iftor	Din	Roʻzaning kun botardagi ochilishi.
ihota	Qurilish	Atrofni oʻrab turuvchi toʻsiq.
ijara	Savdo	Mulkni vaqtincha haq evaziga olish.
ijoza	Jamiyat	Biror ishga berilgan ruxsat.
ildiz	Tabiat	Oʻsimlikning yer ostidagi oziqlantiruvchi qismi.
ilgak	Asbob	Narsalarni osish uchun qayrilgan uchli moslama.
ilhom	Tuygʻu	Ijodga undovchi koʻtarinki ruh.
illat	Jism	Yashirin nuqson yoki xastalik.
ilmoq	Asbob	Ip yoki arqondagi sirtmoq tugun.
ilova	Ilm	Asosiy narsaga qoʻshimcha qilingan qism.
imkon	Tuygʻu	Biror ishni bajarish uchun sharoit.
inkor	Til	Rad etish, tan olmaslik.
insof	Tuygʻu	Adolat va vijdon bilan ish tutish.
inson	Oila	Aql-idrokli tirik mavjudot, odam.
iqlim	Tabiat	Hududning koʻp yillik ob-havo tartibi.
iqror	Til	Aybni yoki haqiqatni tan olish.
irfon	Din	Ilohiy haqiqatni bilishga intiluvchi taʼlimot.
irmoq	Tabiat	Katta oqimga quyiluvchi kichik suv tarmogʻi.
iroda	Tuygʻu	Maqsad sari qatʼiyat kuchi.
iroqi	Kiyim	Mayda chok bilan tikiladigan kashta turi.
irqchi	Jamiyat	Kishilarni kelib chiqishiga qarab kamsituvchi.
isbot	Ilm	Haqiqatni tasdiqlovchi dalil keltirish.
ishbay	Savdo	Bajarilgan ish miqdoriga qarab haq toʻlash.
ishgʻol	Jamiyat	Hududni kuch bilan egallash.
ishlov	Kasb-hunar	Xomashyoga berilgan mehnat jarayoni.
ishonch	Tuygʻu	Birovga yoki narsaga qatʼiy suyanish hissi.
ishora	Til	Imo yoki belgi bilan bildirish.
ishqor	Ilm	Kislotani neytrallovchi kimyoviy modda.
ishrat	Tuygʻu	Ayshli, maishatli hayot kechirish.
isloh	Jamiyat	Tuzatish, yaxshilash uchun oʻzgartirish.
isrof	Savdo	Narsani behuda sarflash.
istak	Tuygʻu	Koʻngilning biror narsani tilashi.
isyon	Jamiyat	Hokimiyatga qarshi ochiq qoʻzgʻolon.
itoat	Tuygʻu	Buyruqqa soʻzsiz boʻysunish.
ixlos	Tuygʻu	Chin dildan berilgan sadoqat.
iymon	Din	Qalbdagi chuqur diniy eʼtiqod.
izdosh	Jamiyat	Birovning yoʻlini davom ettiruvchi kishi.
izhor	Til	Ichki tuygʻuni oshkor qilish.
izzat	Tuygʻu	Hurmat-eʼtibor koʻrsatish.
jabha	Jamiyat	Urush harakatlari boradigan old chiziq.
jadid	Tarix	Oʻtgan asr boshidagi maʼrifatparvarlik harakati vakili.
jahon	Tabiat	Butun yer yuzi, olam.
jamoa	Jamiyat	Birgalikda faoliyat yurituvchi kishilar uyushmasi.
janda	Kiyim	Yamoq bosilgan eski toʻn.
jangal	Tabiat	Qalin oʻsgan yovvoyi oʻrmonzor.
jangchi	Jamiyat	Urushda qatnashuvchi kurashchi.
janob	Jamiyat	Erkaklarga hurmat bilan murojaat soʻzi.
jarchi	Tarix	Xabarni baland ovozda eʼlon qiluvchi kishi.
jasad	Jism	Jon uzilgan tana.
javob	Til	Savolga qaytariladigan soʻz.
javon	Uy-roʻzgʻor	Narsalar teriladigan tokchali mebel.
jayra	Hayvonot	Tanasi uzun ignalar bilan qoplangan kemiruvchi.
jigar	Jism	Qonni tozalovchi yirik ichki aʼzo.
jihat	Ilm	Narsaning bir tomoni, qirrasi.
jihod	Din	Eʼtiqod yoʻlidagi kurash tushunchasi.
jihoz	Uy-roʻzgʻor	Xonani butlovchi asbob-anjomlar.
jilgʻa	Tabiat	Togʻdan oqib tushuvchi kichik suvloq.
jilov	Asbob	Otni boshqaradigan yugan tasmasi.
jinni	Jism	Aqlini yoʻqotgan, telba kishi.
jirgʻa	Tarix	Oqsoqollarning maslahat yigʻini.
jirov	Sanʼat	Doston kuylovchi elat ijrochisi.
jiyak	Kiyim	Kiyim chetiga tutiladigan bezakli tasma.
jiyan	Oila	Aka-uka yoki opa-singilning farzandi.
jiyda	Oshxona	Kumushrang bargli daraxtning unli shirin mevasi.
jizya	Tarix	Qadimda boshqa dindagilardan olingan soliq.
jizza	Oshxona	Qovurilgan yogʻ qoldigʻidan taom.
jonon	Tuygʻu	Suyukli goʻzal yor.
josus	Jamiyat	Maxfiy maʼlumot toʻplovchi aygʻoqchi.
joʻyak	Tabiat	Ekin qatorlari orasidagi suv yoʻlagi.
jumla	Til	Tugallangan fikrni bildiruvchi gap.
