kabob	Oshxona	Sixga terib choʻgʻda pishiriladigan goʻsht.
kafan	Din	Marhum oʻraladigan oq mato.
kafil	Savdo	Birovning majburiyatiga zomin boʻluvchi shaxs.
kakao	Oshxona	Shokolad olinadigan don va undan ichimlik.
kakku	Hayvonot	Oʻz nomini takrorlab sayrovchi qush.
kalit	Uy-roʻzgʻor	Qulfni ochish uchun buyum.
kalla	Jism	Bosh, miya joylashgan aʼzo.
kalom	Din	Soʻz, ilohiy nutq.
kamar	Kiyim	Belga taqiladigan tasma.
kamon	Asbob	Oʻq uzatadigan egik sopli qadimiy qurol.
kanal	Tabiat	Suv oqizish uchun qazilgan sunʼiy oʻzan.
kanda	Tuygʻu	Odatni uzib qoʻyish, toʻxtatish.
kanop	Tabiat	Tolasi arqon boʻladigan ekin.
karam	Oshxona	Barglari zich oʻralgan sabzavot.
karra	Ilm	Necha marta ekanini bildiruvchi hisob soʻzi.
karta	Ilm	Yer yuzasining kichraytirilgan tasviri.
kashta	Kiyim	Mato ustiga ipda tikilgan naqsh.
kassa	Savdo	Pul qabul qilinadigan joy yoki qutisi.
katak	Uy-roʻzgʻor	Parranda saqlanadigan kichik qafas uycha.
kavak	Tabiat	Ichi oʻyilgan boʻsh joy, kovak.
kavush	Kiyim	Milliy charm oyoq kiyimi.
kechuv	Tabiat	Daryodan oʻtiladigan sayoz joy.
kelin	Oila	Yangi turmushga chiqqan juvon.
kengash	Jamiyat	Maslahat uchun toʻplangan yigʻin.
kepak	Oshxona	Un elaganda qoladigan don poʻsti.
kesak	Tabiat	Qotgan loy boʻlagi.
kesim	Til	Gapning ish-harakatni bildiruvchi boʻlagi.
kesma	Ilm	Biror narsaning kesilgan boʻlagi yoki chizigʻi.
kigiz	Uy-roʻzgʻor	Jundan bosib tayyorlanadigan qalin toʻshama.
kimsa	Oila	Nomaʼlum bir odam, shaxs.
kimyo	Ilm	Moddalar tarkibini oʻrganuvchi fan.
kirim	Savdo	Kelib tushgan pul yoki daromad.
kirpi	Hayvonot	Tanasi mayda ignali kichik sutemizuvchi.
kishan	Asbob	Oyoq-qoʻlga uriladigan temir bogʻich.
kitob	Ilm	Varaqlari muqovalangan bosma asar.
kiyik	Hayvonot	Choʻl va togʻda yashovchi chopqir tuyoqli jonivor.
kiyim	Kiyim	Tanani yopish uchun libos.
kofir	Din	Eʼtiqodni tan olmaydigan kimsa.
kohin	Tarix	Qadimgi ibodatxona xizmatchisi.
kokil	Jism	Peshonaga tushirib qoʻyilgan soch tutami.
kokos	Oshxona	Palma daraxtining qattiq poʻstli yirik mevasi.
konchi	Kasb-hunar	Yer ostidan maʼdan qazib oluvchi ishchi.
koriz	Tarix	Yer ostidan suv keltiruvchi qadimiy inshoot.
koshin	Qurilish	Naqshli sirlangan pardoz gʻishti.
kosib	Kasb-hunar	Oyoq kiyim tikuvchi hunarmand.
kotib	Kasb-hunar	Yozuv-chizuv ishlarini yurituvchi xodim.
kovak	Tabiat	Daraxt yoki devordagi oʻyiq boʻshliq.
