lagan	Uy-roʻzgʻor	Palov tortiladigan katta yassi idish.
lahja	Til	Muayyan hudud aholisining soʻzlashuv shevasi.
lahza	Vaqt	Koʻz ochib yumguncha oʻtadigan payt.
lampa	Uy-roʻzgʻor	Yorugʻlik beruvchi shisha qalpoqli chiroq.
langar	Asbob	Kemani joyida ushlab turuvchi ogʻir temir.
lapar	Sanʼat	Qizlar davrasida aytiladigan hazil qoʻshiq.
laqab	Til	Kishiga xislatiga qarab berilgan qoʻshimcha nom.
laqqa	Hayvonot	Moʻylovli yirik daryo baligʻi.
latcha	Hayvonot	Uzun tanali mayda yirtqich jonivor.
latta	Uy-roʻzgʻor	Eski mato parchasi.
lavash	Oshxona	Yupqa yoyib pishiriladigan non turi.
lavha	Sanʼat	Kichik tasvir yoki yozuvli taxtacha.
laxta	Jism	Quyulib qolgan qon boʻlagi.
lazgi	Sanʼat	Xorazmga xos oʻynoqi raqs va kuy.
lenta	Kiyim	Uzun ensiz bezak tasmasi.
libos	Kiyim	Ust-bosh, kiyiladigan narsa.
lider	Jamiyat	Guruhni boshqarib boruvchi yetakchi.
limon	Oshxona	Nordon sariq sitrus mevasi.
lison	Til	Nutq vositasi, soʻzlashuv qobiliyati.
lochin	Hayvonot	Ovda ishlatiladigan tez uchar yirtqich qush.
lugʻat	Til	Soʻzlar izohi jamlangan kitob.
madad	Tuygʻu	Qoʻllab-quvvatlovchi yordam kuchi.
madang	Qurilish	Eshikni ichdan bekituvchi yogʻoch tambasi.
magʻiz	Oshxona	Danak ichidagi yeyiladigan yumshoq qism.
mahal	Vaqt	Muayyan payt, vaqt boʻlagi.
mahsi	Kiyim	Yumshoq charmdan poshnasiz milliy oyoq kiyimi.
majoz	Til	Soʻzning koʻchma maʼnoda qoʻllanishi.
makon	Qurilish	Yashash yoki joylashish oʻrni.
malak	Din	Nurdan yaratilgan gunohsiz mavjudot.
malax	Hayvonot	Ekinlarni gala boʻlib qiruvchi hasharot.
malik	Tarix	Qadimgi hukmdorlarning unvoni.
manba	Ilm	Maʼlumot yoki narsaning kelib chiqish oʻrni.
manti	Oshxona	Bugʻda pishiriladigan xamirli goʻshtli taom.
maqol	Til	Xalq donoligini ifodalovchi hikmatli gap.
maqom	Sanʼat	Sharq mumtoz musiqasining yirik turkumi.
maral	Hayvonot	Shoxdor yirik yovvoyi jonivor.
marka	Savdo	Xat joʻnatishda yopishtiriladigan qogʻozcha.
marra	Oʻyin	Poygada yetib boriladigan soʻnggi chiziq.
marza	Tabiat	Ekin maydonlarini ajratuvchi koʻtarma tuproq.
masal	Sanʼat	Hayvonlar tilidan ibrat beruvchi sheʼriy hikoya.
matal	Til	Toʻliq boʻlmagan hikmatli ibora.
mavqe	Jamiyat	Jamiyatdagi tutgan oʻrin, obroʻ.
mavzu	Ilm	Suhbat yoki asarning bosh masalasi.
mayak	Tabiat	Oldinga intilish uchun namuna belgisi.
mayib	Jism	Aʼzosi shikastlangan kishi.
mayiz	Oshxona	Quritilgan uzum donalari.
mayna	Hayvonot	Odam nutqiga taqlid qila oladigan qora qush.
mayoq	Tabiat	Kemalarga yoʻl koʻrsatuvchi yorugʻlik minorasi.
maysa	Tabiat	Endigina koʻkargan yosh oʻt.
mazax	Tuygʻu	Birovni kulgi qilib ustidan kulish.
mebel	Uy-roʻzgʻor	Xona jihozlarining umumiy nomi.
medal	Jamiyat	Xizmat uchun beriladigan koʻkrak nishoni.
meros	Oila	Ota-bobodan qolgan mulk yoki boylik.
metro	Jamiyat	Yer ostidan qatnaydigan shahar poyezdi.
mezon	Ilm	Baholash uchun asos boʻladigan oʻlchov.
mijoz	Savdo	Xizmatdan doimiy foydalanuvchi xaridor.
milod	Vaqt	Yil hisobi boshlanadigan tarixiy nuqta.
minut	Vaqt	Oltmish soniyalik vaqt oʻlchovi.
mirob	Kasb-hunar	Suv taqsimotini boshqaruvchi kishi.
misol	Ilm	Fikrni tushuntirish uchun keltirilgan namuna.
misra	Sanʼat	Sheʼrning bir qatori.
mizoj	Jism	Kishi tabiatining tugʻma xususiyati.
modda	Ilm	Olamni tashkil etuvchi jismiy asos.
mogʻor	Tabiat	Nam joyda paydo boʻladigan poʻpanak.
molchi	Kasb-hunar	Qoramol boquvchi kishi.
motam	Tuygʻu	Marhum uchun tutiladigan qaygʻu.
motor	Asbob	Mashinani harakatga keltiruvchi qurilma.
moxov	Jism	Terini yemiruvchi ogʻir yuqumli kasallik.
moyak	Jism	Erkaklik urugʻ bezi.
moziy	Vaqt	Oʻtib ketgan zamon.
mozor	Din	Marhumlar dafn etilgan joy.
moʻyna	Kiyim	Hayvonning qimmatbaho yumshoq terisi.
muchal	Vaqt	Oʻn ikki yillik hayvon taqvimi.
mudir	Kasb-hunar	Boʻlim yoki muassasa boshligʻi.
mufti	Din	Diniy idoraning oliy mansabdori.
muguz	Jism	Hayvon boshidagi qattiq oʻsimta.
muhit	Tabiat	Atrofni qamrab olgan sharoit.
mulla	Din	Diniy ilm olgan kishi.
mullo	Din	Diniy savodli kishining eski atalishi.
murda	Jism	Jon uzilgan tana, jasad.
murid	Din	Pir qoʻl ostidagi shogird.
mushak	Jism	Tanani harakatlantiruvchi toʻqima.
mushuk	Hayvonot	Sichqon ovlaydigan xonaki jonivor.
muzey	Sanʼat	Qimmatli buyumlar saqlanib koʻrsatiladigan dargoh.
