nafar	Oila	Kishilarni sanashda ishlatiladigan birlik.
nafas	Jism	Havoni olib chiqarish jarayoni.
nagʻma	Sanʼat	Yoqimli kuy ohangi.
najot	Tuygʻu	Xavfdan qutulish yoʻli.
namat	Uy-roʻzgʻor	Jundan bosilgan qalin toʻshama.
namoz	Din	Kuniga besh mahal oʻqiladigan ibodat.
narsa	Uy-roʻzgʻor	Har qanday jism yoki buyum.
nasab	Oila	Kishining ota tomondan kelib chiqishi.
nasos	Asbob	Suyuqlik yoki havoni tortib uzatuvchi qurilma.
naycha	Asbob	Ichi kovak ingichka trubka.
naychi	Sanʼat	Puflama cholgʻuda kuy ijro etuvchi sozanda.
nayza	Asbob	Uchi oʻtkir uzun sopli qadimiy qurol.
nazar	Tuygʻu	Qarash, eʼtibor bilan boqish.
negiz	Ilm	Biror narsaning asosi, poydevori.
nifoq	Jamiyat	Ichdan buzuvchi ikkiyuzlamachilik, nizo.
nigoh	Tuygʻu	Koʻz qarashi.
nihol	Tabiat	Yangi ekilgan yosh daraxtcha.
nikoh	Oila	Er-xotinlikni rasmiylashtiruvchi ahd.
nimcha	Kiyim	Yengsiz kalta ustki kiyim.
niqob	Kiyim	Yuzni yashirish uchun tutiladigan parda.
nishab	Tabiat	Pastga qiya joy.
nishon	Jamiyat	Moʻljal yoki xizmat belgisi.
niyat	Tuygʻu	Koʻngilda tugilgan maqsad.
nizom	Jamiyat	Faoliyatni belgilovchi qoidalar toʻplami.
nomus	Tuygʻu	Shaʼn, or va uyat tuygʻusi.
norin	Oshxona	Ingichka kesilgan xamir va goʻshtli milliy taom.
noshir	Kasb-hunar	Kitob chop etib tarqatuvchi shaxs.
notiq	Kasb-hunar	Soʻzga chechan, nutq soʻzlovchi kishi.
novda	Tabiat	Daraxtning yosh shoxchasi.
noxun	Sanʼat	Torli sozni chertadigan tirnoqcha.
nozir	Jamiyat	Nazorat qiluvchi mansabdor.
noʻxat	Oshxona	Dumaloq donli dukkakli ekin.
nufuz	Jamiyat	Taʼsir kuchi, obroʻ-eʼtibor.
nukta	Til	Nozik maʼnoli chuqur fikr.
nuqta	Ilm	Eng kichik belgi, tinish belgisi.
nusxa	Ilm	Asl narsadan koʻchirilgan ayni oʻxshashi.
obida	Tarix	Oʻtmishdan qolgan meʼmoriy yodgorlik.
obuna	Savdo	Nashrga oldindan haq toʻlab yozilish.
ochlik	Jism	Qorin toʻymaganlik holati.
oftob	Tabiat	Quyosh va uning taftli nuri.
ogʻriq	Jism	Tandagi azob beruvchi noxush sezgi.
okean	Tabiat	Qitʼalarni ajratib turuvchi ulkan suvlik.
olacha	Kiyim	Yoʻl-yoʻl toʻqilgan milliy mato.
olima	Ilm	Fan bilan shugʻullanuvchi ayol.
olmos	Tabiat	Eng qattiq qimmatbaho tosh.
olmosh	Til	Ot oʻrnida qoʻllanadigan soʻz turkumi.
olqish	Tuygʻu	Maʼqullab bildirilgan maqtov sadosi.
oltin	Tabiat	Sariq tusli qimmatbaho maʼdan.
ombor	Qurilish	Mahsulot saqlanadigan bino.
oqava	Tabiat	Ishlatilib oqiziladigan iflos suv.
oqqush	Hayvonot	Uzun boʻyinli oppoq suv qushi.
oqshom	Vaqt	Kun botgandan keyingi payt.
oqsil	Ilm	Tirik organizm asosini tashkil etuvchi modda.
oshpaz	Kasb-hunar	Taom tayyorlovchi usta.
osmon	Tabiat	Boshimiz uzra koʻk gumbaz.
otliq	Jamiyat	Ot mingan kishi.
ovora	Tuygʻu	Behuda urinib sarson boʻlish.
ovoza	Til	El ichida tarqalgan gap-soʻz.
ovqat	Oshxona	Yeb-ichiladigan taom.
oyina	Uy-roʻzgʻor	Aks koʻrsatuvchi shisha buyum.
oylik	Savdo	Har oy toʻlanadigan ish haqi.
oziqa	Oshxona	Jonzotga quvvat beruvchi yegulik.
ozuqa	Oshxona	Hayvonlarga beriladigan yem-xashak.
