oʻgʻlon	Oila	Navqiron yosh yigit.
oʻlcham	Ilm	Narsaning kattaligini bildiruvchi miqdor.
oʻlpon	Tarix	Qadimda yerdan olingan soliq turi.
oʻmrov	Jism	Yelka bilan koʻkrakni tutashtiruvchi suyak.
oʻqdon	Asbob	Oʻqlar solib qoʻyiladigan idish yoki qin.
oʻrama	Uy-roʻzgʻor	Aylantirib yigʻilgan narsa toʻplami.
oʻrdak	Hayvonot	Suvda suzuvchi yassi tumshuqli parranda.
oʻrmon	Tabiat	Daraxtlar qalin oʻsgan katta maydon.
oʻrnak	Tuygʻu	Boshqalarga ibrat boʻladigan namuna.
oʻrtoq	Oila	Yaqin doʻst, hamroh.
oʻsmir	Oila	Bolalikdan yigitlikka oʻtish yoshidagi kishi.
oʻtloq	Tabiat	Mol boqiladigan koʻm-koʻk maydon.
oʻtmish	Vaqt	Oʻtib ketgan davr voqealari.
oʻtroq	Jamiyat	Bir joyda muqim yashovchi turmush tarzi.
oʻtxoʻr	Hayvonot	Faqat oʻsimlik bilan oziqlanuvchi jonivor.
oʻynash	Oila	Nikohsiz yashirin munosabatdagi kimsa.
oʻzlik	Tuygʻu	Kishining oʻz mohiyatini anglashi.
paket	Uy-roʻzgʻor	Narsa solinadigan yengil xalta.
palak	Tabiat	Poliz ekinlarining yer boʻylab yoyilgan poyasi.
palla	Vaqt	Kun yoki ish jarayonining bir bosqichi.
palma	Tabiat	Issiq oʻlkalarda oʻsadigan baland tropik daraxt.
palos	Uy-roʻzgʻor	Patsiz toʻqilgan yerga yoziladigan gilamcha.
palov	Oshxona	Guruch va sabzidan damlanadigan milliy taom.
palto	Kiyim	Sovuqdan saqlaydigan uzun ustki kiyim.
panda	Hayvonot	Bambuk yeb yashovchi oq-qora ayiqsimon jonivor.
panja	Jism	Qoʻl-oyoqning barmoqlari bilan birga uchki qismi.
panoh	Tuygʻu	Xavfdan saqlaydigan himoya, boshpana.
parcha	Uy-roʻzgʻor	Butundan ajralgan boʻlak.
parda	Uy-roʻzgʻor	Deraza yoki sahnani toʻsuvchi mato.
parma	Asbob	Yogʻoch va metallni teshadigan aylanma asbob.
pashsha	Hayvonot	Ovqatga qoʻnadigan uchuvchi hasharot.
patir	Oshxona	Qatlamli qalin milliy non.
paxsa	Qurilish	Loydan urib koʻtariladigan devor.
paxta	Tabiat	Oq tolali asosiy texnik ekin.
pechak	Tabiat	Chirmashib oʻsuvchi oʻsimlik.
peshin	Vaqt	Kun oʻrtasidagi payt va shu paytdagi ibodat.
peshob	Jism	Buyrak ajratadigan suyuqlik.
peshvo	Jamiyat	Oldinda boruvchi rahnamo, yoʻlboshchi.
pichan	Tabiat	Qishga gʻamlab quritilgan oʻt.
piching	Til	Kesatib aytilgan achchiq gap.
pichoq	Uy-roʻzgʻor	Dastali keskir tigʻ.
pilik	Uy-roʻzgʻor	Chiroqning yonib turadigan ip qismi.
pilla	Tabiat	Ipak qurti oʻragan gʻumbak uyasi.
pilta	Uy-roʻzgʻor	Eshilgan ip yoki paxta tolasi.
pista	Oshxona	Chaqib yeyiladigan mayda ochiq danak.
piyoz	Oshxona	Achchiq taʼmli qatlamli sabzavot.
pochta	Jamiyat	Xat va joʻnatmalarni yetkazuvchi xizmat.
podsho	Tarix	Mamlakatni yakka boshqargan hukmdor.
poliz	Tabiat	Qovun-tarvuz ekiladigan maydon.
popuk	Kiyim	Ip tolalaridan yasalgan osma bezakcha.
poxol	Tabiat	Don ajratilgandan qolgan quruq poya.
poyga	Oʻyin	Tezlik boʻyicha oʻtkaziladigan musobaqa.
poyon	Vaqt	Nihoya, tugash nuqtasi.
poʻkak	Tabiat	Suvda choʻkmaydigan yengil daraxt poʻstlogʻi.
poʻlat	Qurilish	Qattiq va pishiq temir qotishmasi.
pufak	Oʻyin	Havo bilan shishiriladigan yupqa qobiq.
putur	Tuygʻu	Butunlikka yetgan zarar, darz.
