qabul	Jamiyat	Kelganni yoki taklifni rozilik bilan olish.
qadah	Uy-roʻzgʻor	Ichimlik quyiladigan oyoqli idishcha.
qadam	Jism	Yurishda bir oyoq tashlami.
qadoq	Savdo	Mahsulotning oʻralgan holati yoki eski ogʻirlik oʻlchovi.
qafas	Uy-roʻzgʻor	Qush yoki jonivor saqlanadigan panjarali qutisi.
qahva	Oshxona	Qovurilgan donidan damlanadigan achchiq qora ichimlik.
qalam	Ilm	Yozish uchun qoʻl quroli.
qalin	Savdo	Kelin uchun beriladigan mol-mulk odati.
qamal	Jamiyat	Shaharni oʻrab olib qurshovda ushlash.
qamar	Tabiat	Oyning kitobiy nomi.
qamchi	Asbob	Otni niqtash uchun tasmali qoʻl quroli.
qamish	Tabiat	Suv boʻyida oʻsadigan uzun poyali oʻsimlik.
qanot	Hayvonot	Uchish uchun xizmat qiladigan aʼzo.
qaqir	Tabiat	Suvsiz taqir yer.
qargʻa	Hayvonot	Qora patli yirik shovqinchi qush.
qaror	Jamiyat	Muhokamadan soʻng qabul qilingan xulosa.
qasam	Til	Ont ichib berilgan vaʼda.
qashqa	Hayvonot	Hayvon peshonasidagi oq belgi.
qasos	Tuygʻu	Yomonlikka javoban olinadigan oʻch.
qatiq	Oshxona	Sutni uyutib tayyorlanadigan nordon mahsulot.
qator	Ilm	Bir chiziqqa tizilgan narsalar ketma-ketligi.
qavat	Qurilish	Binoning bir sathdagi darajasi.
qaychi	Asbob	Ikki tigʻli kesish quroli.
qaygʻu	Tuygʻu	Yurakni ezuvchi chuqur alam.
qayin	Tabiat	Oq poʻstloqli nozik daraxt.
qayiq	Asbob	Eshkak bilan yuriladigan kichik suv ulovi.
qayir	Tabiat	Daryo boʻyidagi unumdor pastqam yer.
qayla	Oshxona	Taomga qoʻshib beriladigan quyuq masalliq.
qayni	Oila	Turmush oʻrtoqning ukasi yoki akasi.
qibla	Din	Ibodatda yuz buriladigan tomon.
qilich	Asbob	Uzun tigʻli qadimiy jang quroli.
qimiz	Oshxona	Biya sutidan tayyorlanadigan achigan ichimlik.
qimor	Oʻyin	Pul tikib oʻynaladigan tavakkal oʻyini.
qipiq	Tabiat	Yogʻoch arralaganda toʻkiladigan mayda zarralar.
qirol	Jamiyat	Gʻarb mamlakatlari hukmdori unvoni.
qiron	Tarix	Baxt yulduzlari tutashgan omadli davr.
qirov	Tabiat	Sovuqda yuzaga oʻtiradigan oq muz zarralari.
qirra	Ilm	Ikki yuza tutashgan oʻtkir chekka.
qissa	Sanʼat	Voqealar bayon qilinadigan oʻrta hajmli asar.
qiyiq	Kiyim	Belga bogʻlanadigan uchburchak mato.
