rabot	Tarix	Karvonlar tunaydigan qadimiy manzilgoh.
radio	Asbob	Tovushni toʻlqin orqali uzatuvchi qurilma.
ramka	Uy-roʻzgʻor	Surat atrofiga solinadigan hoshiya.
randa	Asbob	Yogʻoch yuzasini silliqlovchi duradgor asbobi.
raqam	Ilm	Sonni yozuvda ifodalovchi belgi.
raqib	Oʻyin	Bellashuvda qarshi turuvchi tomon.
rasad	Ilm	Osmon jismlarini kuzatish ishi.
rasta	Savdo	Bozorning bir turdagi mollar qatori.
ravish	Til	Ish-harakat belgisini bildiruvchi soʻz turkumi.
ravoq	Qurilish	Egik gumbazsimon usti ochiq oʻtish joyi.
rejim	Jamiyat	Belgilangan qatʼiy tartib.
rioya	Tuygʻu	Qoidaga amal qilish, hurmat saqlash.
rishta	Tuygʻu	Bogʻlab turuvchi mustahkam aloqa ipi.
rivoj	Jamiyat	Oʻsish, taraqqiy etish jarayoni.
robot	Asbob	Buyruqlarni oʻzi bajaruvchi avtomatik qurilma.
rohat	Tuygʻu	Tanaga va ruhga yoqadigan orom.
rohib	Din	Tarki dunyo qilgan ibodatchi.
roman	Sanʼat	Katta hajmli nasriy badiiy asar.
rovoch	Oshxona	Nordon poyasi yeyiladigan bahorgi oʻsimlik.
roʻmol	Kiyim	Boshga oʻraladigan toʻrtburchak mato.
roʻvak	Tabiat	Supurgi boglanadigan dasht oʻsimligi.
roʻyan	Tabiat	Ildizidan qizil boʻyoq olinadigan oʻsimlik.
rubob	Sanʼat	Mezrob bilan chalinadigan torli milliy soz.
sabab	Ilm	Hodisani keltirib chiqaruvchi omil.
sabil	Din	Yoʻlovchilar uchun qoldirilgan tekin suv yoki narsa.
saboq	Ilm	Oʻrganilgan dars, hayotiy xulosa.
sabot	Tuygʻu	Qiyinchilikda ham qatʼiy turish.
sabzi	Oshxona	Toʻq sariq ildizmevali yegulik.
sadaf	Tabiat	Chigʻanoq ichidagi tovlanuvchi qatlam.
safar	Jamiyat	Uzoq joyga qilinadigan yurish.
safro	Jism	Jigar ishlab chiqaradigan achchiq suyuqlik.
sagʻir	Oila	Ota-onasiz qolgan bola.
sahar	Vaqt	Tong otar oldidagi payt.
sahna	Sanʼat	Tomosha koʻrsatiladigan maxsus maydoncha.
sahro	Tabiat	Suvsiz keng qumli dasht.
sajda	Din	Peshonani yerga qoʻyib qilinadigan taʼzim.
salat	Oshxona	Toʻgʻralgan sabzavotlardan sovuq taom.
salib	Din	Xristianlikning kesishgan chiziqli belgisi.
salla	Kiyim	Boshga oʻraladigan uzun mato.
salma	Oshxona	Xamir boʻlakchalari solingan suyuq taom.
salon	Uy-roʻzgʻor	Mehmon kutiladigan katta xona.
saman	Hayvonot	Och sariq tusli ot.
samar	Tuygʻu	Mehnatning koʻzga koʻringan natijasi.
samur	Hayvonot	Qimmat moʻynali kichik oʻrmon jonivori.
sanam	Sanʼat	Goʻzal yor timsoli, but.
sanoq	Ilm	Birma-bir hisoblab chiqish.
saqich	Oshxona	Chaynash uchun yumshoq elastik modda.
sarob	Tabiat	Issiqda koʻrinadigan aldamchi suv tasviri.
saroy	Qurilish	Hukmdorlar yashaydigan hashamatli bino.
sarpo	Kiyim	Toʻyda beriladigan bosh-oyoq kiyim sovgʻasi.
savat	Uy-roʻzgʻor	Chiviqdan toʻqilgan dastali idish.
savdo	Savdo	Oldi-sotdi ishi.
savob	Din	Yaxshi amal uchun beriladigan ajr.
savod	Ilm	Oʻqish-yozishni bilish darajasi.
savol	Til	Javob talab qiladigan soʻroq.
sayil	Oʻyin	Bayramona ommaviy sayr tadbiri.
segoh	Sanʼat	Sharq maqom turkumidagi yoʻllardan biri.
sevgi	Tuygʻu	Qalbni qamrab oluvchi muhabbat hissi.
sezgi	Tuygʻu	Tashqi taʼsirni his qilish qobiliyati.
