shafaq	Tabiat	Kun botardagi osmon qizili.
shagʻal	Qurilish	Mayda dumaloq toshlar aralashmasi.
shahar	Jamiyat	Aholisi zich yirik yashash maskani.
shahid	Din	Eʼtiqod yoki vatan yoʻlida qurbon boʻlgan kishi.
shakar	Oshxona	Choyga solinadigan shirin oq mahsulot.
shamol	Tabiat	Havoning kuchli oqimi.
shanba	Vaqt	Haftaning oltinchi kuni.
sharaf	Tuygʻu	Yuksak obroʻ, faxrli eʼtibor.
sharob	Oshxona	Uzumdan achitib tayyorlanadigan ichimlik.
sharpa	Tuygʻu	Elas-elas sezilgan tovush yoki koʻlanka.
shaxta	Qurilish	Yer ostidan maʼdan qazib olinadigan inshoot.
sherik	Savdo	Ishni birga yurituvchi hamkor.
shingil	Oshxona	Uzum boshining kichik bir shoxchasi.
shinni	Oshxona	Meva sharbatidan qaynatilgan quyuq shirinlik.
shirach	Asbob	Ildizidan yelim olinadigan oʻsimlik.
shivit	Oshxona	Taomga solinadigan xushboʻy ingichka bargli koʻkat.
shohid	Jamiyat	Voqeani koʻrgan, guvohlik beruvchi kishi.
shoira	Sanʼat	Sheʼr yozuvchi ayol ijodkor.
shoʻrva	Oshxona	Goʻsht va sabzavotli suyuq taom.
shubha	Tuygʻu	Ishonchsizlikdan tugʻiladigan gumon.
shukur	Din	Berilgan neʼmatga minnatdorlik bildirish.
shuvoq	Tabiat	Achchiq hidli dasht oʻsimligi.
sifat	Til	Belgini bildiruvchi soʻz turkumi; xislat.
sigir	Hayvonot	Sut beruvchi yirik uy hayvoni.
sigʻim	Ilm	Idishga joylashadigan miqdor hajmi.
silla	Jism	Quvvat, majol.
simob	Ilm	Xona haroratida suyuq turadigan metall.
singil	Oila	Kishining oʻzidan kichik qiz qarindoshi.
sipoh	Tarix	Qadimgi davlatlarda harbiy xizmatchi.
sirgʻa	Kiyim	Quloqqa taqiladigan zeb-ziynat.
sirka	Oshxona	Taomga qoʻshiladigan nordon suyuqlik.
sirop	Oshxona	Shakar qoʻshib qaynatilgan quyuq sharbat.
siymo	Tuygʻu	Kishining tashqi qiyofasi, obrazi.
siyoh	Ilm	Yozish uchun boʻyoqli suyuqlik.
sizot	Tabiat	Yer ostidan sizib chiqadigan nam.
sochiq	Uy-roʻzgʻor	Artinish uchun yumshoq mato buyum.
sochma	Sanʼat	Nasr yoʻlida yozilgan erkin asar.
sogʻim	Hayvonot	Sut beradigan holatdagi mol.
sohib	Savdo	Biror narsaning egasi.
sohil	Tabiat	Suv havzasining quruqlik cheti.
soliq	Savdo	Davlatga majburiy toʻlanadigan pul.
somon	Tabiat	Yanchilgan don poyasining mayda qoldigʻi.
somsa	Oshxona	Tandirda pishiriladigan goʻshtli xamir taom.
sopol	Qurilish	Loydan pishirilgan idish materiali.
soqchi	Jamiyat	Qoʻriqlash vazifasidagi kishi.
soqol	Jism	Erkak iyagida oʻsadigan tuklar.
sovchi	Oila	Qiz soʻrab boruvchi vakil.
sovgʻa	Tuygʻu	Xushnudlik uchun beriladigan narsa.
sovun	Uy-roʻzgʻor	Yuvinish uchun koʻpiruvchi vosita.
sovut	Kiyim	Jangchini tigʻdan saqlovchi temir kiyim.
soʻfiy	Din	Tariqat yoʻliga kirgan zohid.
soʻgal	Jism	Terida chiqadigan qattiq kichik oʻsimta.
soʻlak	Jism	Ogʻizda ajraladigan suyuqlik.
soʻroq	Til	Javob kutib berilgan savol.
soʻrov	Jamiyat	Rasmiy tarzda bildirilgan talab.
soʻzak	Jism	Yuqumli tanosil kasalligi.
sukut	Til	Jim turish, ovoz chiqarmaslik.
sumak	Uy-roʻzgʻor	Chaqaloq belanchagiga oʻrnatiladigan naycha moslama.
suman	Tabiat	Oq gulli xushboʻy oʻsimlik.
sumka	Uy-roʻzgʻor	Narsa solib yuriladigan dastali buyum.
summa	Savdo	Pulning umumiy miqdori.
sunna	Din	Paygʻambar yoʻl-yoʻrigʻiga mos amal.
supra	Uy-roʻzgʻor	Xamir yoyish uchun charm dasturxon.
surat	Sanʼat	Biror narsaning chizilgan yoki olingan tasviri.
surgi	Jism	Ichni yumshatuvchi dori.
surma	Kiyim	Koʻzga tortiladigan qora pardoz.
suvchi	Kasb-hunar	Ekinlarga suv taratuvchi kishi.
suvoq	Qurilish	Devorga tekis surtiladigan loy-qorishma qatlami.
suyak	Jism	Skeletni tashkil etuvchi qattiq toʻqima.
suzma	Oshxona	Qatiqning suvi siziltirilgan quyuq mahsuloti.
