tabib	Kasb-hunar	Xalq usulida davolovchi shifokor.
taksi	Jamiyat	Haq evaziga yoʻlovchi tashuvchi yengil mashina.
talab	Jamiyat	Qatʼiy soʻralgan narsa yoki ehtiyoj.
taloq	Oila	Nikohning diniy yoʻl bilan bekor qilinishi.
tamba	Uy-roʻzgʻor	Eshikni ichdan bekitadigan yogʻoch qulf.
tamgʻa	Tarix	Mulkka bosiladigan belgi muhri.
tanda	Kiyim	Toʻqishga tortilgan boʻylama iplar.
tanob	Tarix	Yer oʻlchashda ishlatilgan eski birlik.
taqiq	Jamiyat	Man etilganlik holati.
taqvo	Din	Gunohdan saqlanib yashash.
taraf	Tabiat	Yoʻnalish, tomon.
tarif	Savdo	Xizmat uchun belgilangan narx jadvali.
tariq	Oshxona	Mayda sariq donli ekin.
tarix	Ilm	Oʻtmish voqealarini oʻrganuvchi fan.
taroq	Uy-roʻzgʻor	Soch tarash uchun tishli buyum.
tasma	Kiyim	Ensiz uzun bogʻlagich mato.
tavba	Din	Gunohdan qaytib afv soʻrash.
tavof	Din	Muqaddas joyni aylanib chiqish ibodati.
taxta	Qurilish	Yogʻochning yassi tilingan boʻlagi.
tayoq	Asbob	Qoʻlga olib yuriladigan uzun yogʻoch.
teatr	Sanʼat	Sahna asarlari koʻrsatiladigan dargoh.
temir	Qurilish	Eng koʻp ishlatiladigan kulrang metall.
tepki	Jism	Oyoq bilan urilgan zarba.
terak	Tabiat	Tik oʻsadigan baland daraxt.
terim	Kasb-hunar	Hosilni qoʻlda yigʻish ishi.
teshik	Uy-roʻzgʻor	Narsadan oʻtib ketgan ochiq joy.
tezak	Tabiat	Quritilgan mol goʻngi, yoqilgʻi.
tikan	Tabiat	Oʻsimlikdagi sanchiluvchi uchli oʻsimta.
tilak	Tuygʻu	Yaxshilik soʻrab bildirilgan istak.
tilcha	Jism	Tomoq ichidagi kichik osilib turuvchi aʼzo.
tilim	Oshxona	Qovun yoki nonning kesilgan boʻlagi.
tilla	Savdo	Qimmatbaho sariq metall, boylik ramzi.
tillo	Savdo	Sof qimmatbaho sariq maʼdan.
tinim	Tuygʻu	Dam olish, orom topish.
tiqin	Uy-roʻzgʻor	Idish ogʻzini bekituvchi narsa.
tivit	Kiyim	Echkining mayin yumshoq juni.
tiyin	Savdo	Pulning eng mayda birligi.
tizim	Ilm	Oʻzaro bogʻliq qismlarning yaxlit tuzilmasi.
tizma	Tabiat	Ketma-ket choʻzilgan togʻlar qatori.
tizza	Jism	Oyoqning bukiladigan oʻrta boʻgʻimi.
tobut	Din	Marhum solib koʻtariladigan yogʻoch qutisi.
togʻay	Jism	Suyakdan yumshoqroq elastik toʻqima.
toifa	Jamiyat	Bir xil xususiyatli kishilar guruhi.
tokcha	Uy-roʻzgʻor	Devorga oʻyilgan narsa qoʻyish joyi.
tomchi	Tabiat	Suyuqlikning mayda yumaloq zarrasi.
tomir	Jism	Qon oqadigan yoʻl; ildiz.
tomon	Tabiat	Yoʻnalish, taraf.
tonna	Ilm	Ming kilogramlik ogʻirlik oʻlchovi.
toqat	Tuygʻu	Qiyinchilikka chidash kuchi.
toshma	Jism	Terida paydo boʻladigan mayda donachalar.
tovon	Jism	Oyoq kaftining orqa qismi.
tovoq	Uy-roʻzgʻor	Taom tortiladigan chuqurroq idish.
tovuq	Hayvonot	Tuxum beruvchi xonaki parranda.
tovus	Hayvonot	Rang-barang dumini yozadigan chiroyli qush.
tovush	Til	Eshitiladigan sado, un.
toʻfon	Tabiat	Hamma yoqni bosgan ulkan suv toshqini.
toʻgʻon	Qurilish	Suvni toʻsib turuvchi inshoot.
toʻlov	Savdo	Berilishi lozim boʻlgan pul majburiyati.
toʻpchi	Tarix	Zambarak otuvchi harbiy.
toʻpiq	Jism	Oyoq boʻgʻimidagi boʻrtiq suyak.
toʻqay	Tabiat	Daryo boʻyidagi qalin butazor.
toʻshak	Uy-roʻzgʻor	Yotish uchun soliladigan yumshoq narsa.
toʻsin	Qurilish	Tom koʻtarib turuvchi yoʻgʻon yogʻoch.
toʻsiq	Qurilish	Oʻtishga xalaqit beruvchi gʻov.
toʻychi	Kasb-hunar	Marosimlarda xizmat qiluvchi sozanda.
tugma	Kiyim	Kiyimni qadaydigan mayda buyum.
tugun	Uy-roʻzgʻor	Ip yoki matoning chatishtirilgan bogʻlami.
