uchlik	Ilm	Uch narsadan iborat guruh.
uchqun	Tabiat	Olovdan sachragan mayda choʻgʻ zarrasi.
ufori	Sanʼat	Maqomning raqsbop tezkor qismi.
ulfat	Oila	Davradosh yaqin doʻst.
ummat	Din	Bir paygʻambarga ergashgan jamoa.
undosh	Til	Ovoz va shovqindan hosil boʻluvchi nutq tovushi.
undov	Til	His-hayajonni ifodalovchi soʻz turkumi.
unsur	Ilm	Butunni tashkil etuvchi element.
unvon	Jamiyat	Xizmat darajasini bildiruvchi rasmiy nom.
urchuq	Asbob	Ip yigirishda ishlatiladigan qoʻl moslamasi.
uslub	Sanʼat	Ijodkorga xos ifoda yoʻli.
ustod	Kasb-hunar	Hunar oʻrgatgan murabbiy.
ustoz	Ilm	Bilim beruvchi muallim.
uzlat	Din	Odamlardan chetlanib yolgʻiz yashash.
vafot	Oila	Kishining olamdan oʻtishi.
vagon	Jamiyat	Poyezd tarkibidagi yoʻlovchi yoki yuk boʻlmasi.
vahiy	Din	Paygʻambarga tushgan ilohiy xabar.
vakil	Jamiyat	Birov nomidan ish yurituvchi shaxs.
valiy	Din	Karomat egasi sanalgan azizlardan biri.
vanna	Uy-roʻzgʻor	Choʻmilish uchun katta uzun idish.
varaq	Ilm	Qogʻozning bir beti.
vasiy	Jamiyat	Voyaga yetmagan bolaga qonuniy gʻamxoʻr shaxs.
vassa	Qurilish	Tom bosishda toʻsinlar orasiga terilgan yogʻoch.
vatan	Jamiyat	Kishi tugʻilib oʻsgan ona yurt.
vazir	Jamiyat	Hukumatning yuqori lavozimli aʼzosi.
video	Asbob	Harakatlanuvchi tasvir yozuvi.
visol	Tuygʻu	Sevishganlarning topishuv onlari.
vodiy	Tabiat	Ikki togʻ orasidagi keng pastlik.
voqea	Vaqt	Sodir boʻlgan hodisa.
voris	Oila	Meros oluvchi davomchi.
vujud	Jism	Butun tana, borliq gavda.
xabar	Til	Yetkazilgan yangilik maʼlumoti.
xachir	Hayvonot	Ot bilan eshakdan tugʻilgan chidamli ulov.
xalal	Tuygʻu	Ishga toʻsqinlik qiluvchi zarar.
xalat	Kiyim	Uy yoki ish ustidan kiyiladigan yengil kiyim.
xalfa	Kasb-hunar	Usta qoʻlida ishlovchi yordamchi shogird.
xalta	Uy-roʻzgʻor	Narsa solinadigan mato qopcha.
xamir	Oshxona	Un va suvdan qorilgan yumshoq massa.
xamsa	Sanʼat	Besh dostondan iborat mumtoz asar turkumi.
xanda	Tuygʻu	Ochiq shodon kulish.
xarid	Savdo	Pul berib narsa olish.
xashak	Tabiat	Mol yemi uchun quritilgan oʻt-oʻlan.
xatar	Tuygʻu	Yaqinlashgan xavf-tahdid.
xatib	Din	Juma maʼruzasini oʻquvchi imom.
xatna	Din	Oʻgʻil bolani sunnat qilish marosimi.
xayol	Tuygʻu	Ongda jonlanadigan tasavvur oqimi.
xazon	Tabiat	Kuzda toʻkilgan sargʻaygan barglar.
xiroj	Tarix	Qadimda yer hosilidan olingan soliq.
xirqa	Kiyim	Darveshlar kiyadigan yamoqli toʻn.
xitob	Til	Baland ovozda qilingan murojaat.
xodim	Kasb-hunar	Muassasada ishlovchi kishi.
xohish	Tuygʻu	Ichki istak, moyillik.
xonim	Oila	Ayollarga hurmatli murojaat soʻzi.
xoqon	Tarix	Qadimgi turkiy davlatlar hukmdori.
xorij	Jamiyat	Chet el, oʻzga davlatlar.
xossa	Ilm	Narsaga xos ajralib turuvchi belgi.
xotin	Oila	Turmushga chiqqan ayol.
xoʻroz	Hayvonot	Tongda qichqiruvchi erkak parranda.
xumcha	Uy-roʻzgʻor	Suyuqlik saqlanadigan kichik sopol idish.
xumor	Tuygʻu	Biror narsani qattiq qoʻmsash holati.
xurmo	Oshxona	Issiq oʻlkalarda pishadigan shirin qoʻngʻir meva.
xuruj	Jism	Kasallik yoki holatning avj olishi.
xutba	Din	Namoz oldidan oʻqiladigan vaʼz.
