yadro	Ilm	Atomning markaziy ogʻir qismi.
yakan	Tabiat	Boʻyra toʻqiladigan suv boʻyi oʻsimligi.
yakun	Vaqt	Ishning tugallanish nuqtasi, natija.
yalla	Sanʼat	Yengil oʻynoqi xalq qoʻshigʻi.
yamoq	Kiyim	Yirtiq ustiga qoʻyilgan mato parchasi.
yarim	Ilm	Butunning teng ikkidan bir qismi.
yashin	Tabiat	Momaqaldiroqdagi yorqin elektr chaqini.
yechim	Ilm	Masalani hal qiluvchi javob yoʻli.
yelim	Asbob	Narsalarni bir-biriga yopishtiruvchi modda.
yelka	Jism	Boʻyindan qoʻlgacha boʻlgan tana qismi.
yemish	Oshxona	Yeyiladigan narsa, yegulik.
yetim	Oila	Ota yoki onadan ajragan bola.
yigit	Oila	Balogʻatga yetgan yosh erkak.
yigʻim	Savdo	Turli toʻlovlardan toʻplanadigan mablagʻ.
yigʻin	Jamiyat	Kishilarning toʻplangan majlisi.
yilqi	Hayvonot	Uyur boʻlib boqiladigan otlar galasi.
yiring	Jism	Yalligʻlangan jarohatdan chiqadigan suyuqlik.
yogʻdu	Tabiat	Taralayotgan nur shulasi.
yogʻin	Tabiat	Osmondan tushadigan nam: qor yoki jala.
yogʻoch	Qurilish	Daraxtdan olinadigan qattiq material.
yonoq	Jism	Yuzning ikki yon qismi.
yoqut	Tabiat	Qizil rangli qimmatbaho tosh.
yorma	Oshxona	Maydalangan dondan tayyorlanadigan mahsulot.
yotoq	Uy-roʻzgʻor	Uxlash uchun joy.
yozuv	Til	Nutqni belgilar bilan ifodalash tizimi.
yoʻlak	Qurilish	Bino ichidagi tor oʻtish joyi.
yoʻlchi	Kasb-hunar	Asfalt yotqizib taʼmir ishlarini bajaruvchi ishchi.
yoʻlka	Qurilish	Piyodalar yuradigan chekka qism.
yoʻrgʻa	Hayvonot	Tekis va tez yuradigan ot yurishi.
yoʻrma	Kiyim	Chok turlaridan biri bilan tikilgan kashta.
yoʻsin	Tabiat	Nam joyda oʻsadigan mayda yashil oʻsimlik.
yoʻtal	Jism	Tomoq qirilishidan keladigan qattiq nafas turtkisi.
yubka	Kiyim	Ayollarning beldan pastga kiyiladigan kiyimi.
yugan	Asbob	Otning boshiga solinadigan jilovli anjom.
yupqa	Oshxona	Xamirdan juda nozik yoyib pishirilgan taom.
yurak	Jism	Qonni haydab turuvchi asosiy aʼzo.
yutuq	Tuygʻu	Erishilgan muvaffaqiyat.
zafar	Tuygʻu	Kurashda qozonilgan gʻalaba.
zahar	Jism	Organizmni oʻldiruvchi xavfli modda.
zahra	Jism	Oʻt pufagi; qattiq qoʻrquv timsoli.
zakot	Din	Mol-davlatdan beriladigan majburiy sadaqa.
zamin	Tabiat	Yer, tuproq yuzasi.
zamir	Tuygʻu	Gapning ich-ichidagi yashirin maʼnosi.
zamon	Vaqt	Yashab turilgan davr.
zarang	Tabiat	Yogʻochi juda qattiq daraxt.
zarar	Savdo	Yetkazilgan ziyon, yoʻqotish.
zarba	Jism	Kuch bilan urilgan urgʻu.
zarra	Ilm	Moddaning eng kichik boʻlagi.
zavod	Qurilish	Mahsulot ishlab chiqaruvchi yirik korxona.
zigʻir	Tabiat	Moy olinadigan mayda urugʻli ekin.
zirak	Kiyim	Quloqqa taqiladigan bezak buyumi.
ziyon	Savdo	Koʻrilgan zarar, talafot.
zobit	Jamiyat	Qoʻshinning ofitser darajasidagi xizmatchisi.
zovur	Tabiat	Ortiqcha suvni oqizib ketadigan chuqur ariq.
zuluk	Hayvonot	Qon soʻrib davolashda ishlatiladigan suv jonivori.
