# So'z Jangi word-content master (WS-B): word	theme	definition_uz
# Themes: fixed taxonomy in content/taxonomy_uz.txt. Keyed by word so
# content survives tier re-cuts and schedule regeneration.
abzal	Asbob	Ot-ulovga taqiladigan jabduq va anjomlar.
adiba	Sanʼat	Badiiy asarlar bituvchi ayol ijodkor.
adras	Kiyim	Ipak va paxta aralash toʻqilgan milliy mato.
afsun	Tarix	Sehr maqsadida aytiladigan gʻayritabiiy soʻzlar.
afsus	Tuygʻu	Boy berilgan narsa uchun achinish hissi.
afyun	Jism	Koʻknoridan olinadigan kuchli gangituvchi modda.
aholi	Jamiyat	Bir hududda doimiy yashovchi kishilar jami.
ahvol	Tuygʻu	Kimningdir hozirgi holati, kayfiyati yoki turmushi.
ajdar	Tarix	Ertaklardagi olov purkovchi ulkan ilonsimon maxluq.
ajdod	Oila	Bizdan avval oʻtgan ota-bobolar avlodi.
ajrim	Jamiyat	Tortishuvni hal qiluvchi rasmiy qaror.
ajriq	Tabiat	Yer bagʻirlab oʻsadigan seryildiz begona oʻt.
alanga	Tabiat	Yonayotgan narsadan koʻtarilgan olov tillari.
aloqa	Jamiyat	Ikki tomon oʻrtasidagi bogʻlanish, munosabat.
amaki	Oila	Otaning ukasi yoki akasi.
ambar	Qurilish	Don va mol saqlanadigan katta xona.
anbar	Tabiat	Xushboʻy modda sifatida ishlatiladigan qimmat xomashyo.
anhor	Tabiat	Katta ariq, sersuv sunʼiy oqim.
anjir	Oshxona	Yumshoq, seruruq shirin mevali daraxt hosili.
anzur	Oshxona	Togʻda oʻsadigan, tuzlab yeyiladigan piyozsimon oʻsimlik.
aqida	Din	Qatʼiy ishonch, eʼtiqod qoidasi.
aqiqa	Din	Chaqaloq uchun soʻyiladigan qurbonlik marosimi.
arafa	Vaqt	Bayramdan bir kun avvalgi kun.
arava	Asbob	Ot yoki eshak tortadigan gʻildirakli ulov.
arbob	Jamiyat	Biror sohada tanilgan yirik shaxs.
argʻin	Tarix	Qadimgi turkiy urugʻlardan birining nomi.
ariza	Ilm	Rasmiy iltimos bayon etilgan yozma hujjat.
armon	Tuygʻu	Amalga oshmay qolgan orzu alami.
arqon	Asbob	Tolalardan eshilgan yoʻgʻon bogʻlagich.
arvoh	Din	Marhumlarning ruhi haqidagi tasavvur.
arxar	Hayvonot	Togʻda yashovchi yirik yovvoyi qoʻy.
asbob	Asbob	Ish bajarishda qoʻllanadigan qurol yoki moslama.
ashula	Sanʼat	Kuy bilan ijro etiladigan qoʻshiq.
asira	Jamiyat	Urushda tutqunga tushgan ayol.
askar	Jamiyat	Qoʻshinda xizmat qiluvchi harbiy kishi.
